Topic,Count,Name,Representation,Representative_Docs
9,37,9_uruguay_embassy_nazi_eagle,"['uruguay', 'embassy', 'nazi', 'eagle', 'us', 'dictatorship', 'dove', 'bronze', 'uruguays', 'bilateral']","['uruguay melt bronze nazi eagle statue turn peace dove euronews', 'congressional delegation united states visit uruguay us embassy uruguay', 'us ambassadordesignate heide b fulton arrived uruguay us embassy uruguay']"
10,32,10_species_wildlife_zoo_creature,"['species', 'wildlife', 'zoo', 'creature', 'mongabaycom', 'across', 'sea', 'miller', 'park', 'scientists']","['coppereyed creature found lurking among ferns night new species peru miami herald', 'remains new species duckbilled dinosaur found chile physorg', 'wwf protects sea turtle species across pacific stories world wildlife fund']"
11,29,11_travel_south_america_path,"['travel', 'south', 'america', 'path', 'american', 'flights', 'cities', 'top', 'simple', 'popular']","['top 4 destinations colombia solo female travel path', 'travel south american destinations portugal panama govuk', 'top 8 south american cities digital nomads according travel path']"
12,23,12_copper_miningcom_mining_production,"['copper', 'miningcom', 'mining', 'production', 'codelco', 'acquisition', 'approval', 'chiles', 'junior', 'metals']","['perus mining sector expands may copper production 36 kitco news', 'los andes copper weighs funding options chile project including sale miningcom miningcom', 'chile copper production main mines may miningcom miningcom']"
13,18,13_emerging_nasdaq_prices_chilean,"['emerging', 'nasdaq', 'prices', 'chilean', 'marketslatam', 'fintech', 'minera', 'stocks', 'stock', 'sociedad']","['emerging marketslatam fx mixed thin trade colombian nasdaq', 'emerging marketscrude oil prices lift chilean colombian nasdaq', 'emerging marketscrude oil prices lift chilean colombian nasdaq']"
14,17,14_institute_journalism_study_america,"['institute', 'journalism', 'study', 'america', 'south', 'reporting', 'reuters', 'journalists', 'network', 'google']","['chile reuters institute study journalism reuters institute', 'peru reuters institute study journalism reuters institute', 'colombia reuters institute study journalism reuters institute']"
15,16,15_lithium_290_battery_byd,"['lithium', '290', 'battery', 'byd', 'chinese', 'project', 'ev', 'steps', 'million', 'takes']","['byd takes next steps 290 million lithium project chile miningcom miningcom', 'chinas byd takes next steps 290 million lithium project caixin global', 'chinas byd takes next steps 290 million lithium project chile bloomberg']"
16,16,16_argentina_news_territories_sharing,"['argentina', 'news', 'territories', 'sharing', 'jw', 'argentinas', 'good', 'isolated', 'zealand', 'eurasian']","['argentinas junta used plane hurl dissident mothers nuns deaths sky decades later returned home florida cbs news', 'sharing good news isolated territories argentina jw news', 'sharing good news isolated territories argentina jw news']"
17,16,17_organization_paho_american_director,"['organization', 'paho', 'american', 'director', 'unicef', 'iachr', 'health', 'pan', 'states', 'partnerships']","['paho executive committee concludes today adoption 12 pan american health organization', 'paho director meets brazilian president discuss public pan american health organization', 'paho director asks prosur leaders participate initiative pan american health organization']"
18,15,18_imf_argentina_chacraservicios_bunge,"['imf', 'argentina', 'chacraservicios', 'bunge', 'chevron', 'acquire', 'debt', 'july', 'monetary', 'fund']","['imf executive board concludes second review extended international monetary fund', 'argentina push july imf debt payments monthend source nasdaq', 'argentina push july imf debt payments monthend reuters']"
19,15,19_water_uruguay_drought_salt,"['water', 'uruguay', 'drought', 'salt', 'dw', 'dref', 'january', 'drinking', 'dry', 'droughts']","['uruguay hot dry adds salt water public drinking supply washington post', 'uruguay taking action face water crisis drinking water reserve empty montevideo mercopress', 'uruguay drought capital hit water shortages dw english']"
20,14,20_abuse_pope_vatican_priests,"['abuse', 'pope', 'vatican', 'priests', 'sends', 'bolivia', 'diary', 'confessed', 'francis', 'rape']","['vatican sends bolivia diary priest allegedly confessed abuse nbc news', 'vatican sends priests diary bolivia amid sex abuse scandal al jazeera english', 'pope sends vatican official bolivia abuse allegations escalate associated press']"
21,14,21_inflation_rate_interest_bank,"['inflation', 'rate', 'interest', 'bank', 'argentina', 'hold', 'bloomberg', '97', 'eases', 'ditch']","['chile holds interest rate twodecade high core inflation bloomberg', 'argentina hold interest rate 97 raging inflation eases bank sources yahoo finance', 'argentina hold interest rate 97 raging inflation eases bank reuters']"
22,13,22_protesters_crisis24_santa_protests,"['protesters', 'crisis24', 'santa', 'protests', 'july', 'early', 'protest', 'arrest', 'opposition', 'tankers']","['bolivia protesters block highway santa rosa del sara santa crisis24', 'argentina protesters disrupt bus services tucuman early july 6 crisis24', 'peru protest lima early july 3 crisis24 crisis24']"
23,13,23_ancelotti_carlo_coach_2024,"['ancelotti', 'carlo', 'coach', '2024', 'brazil', 'diniz', 'national', 'team', 'copa', 'take']","['brazil chairman says carlo ancelotti take national team 2024 fox sports', 'carlo ancelotti take brazil coach 2024 copa america usa daily mail', 'legendary coach carlo ancelotti leave real madrid 2024 take brazil national team job cbs sports']"
24,11,24_mercopress_gas_forecasted_buying,"['mercopress', 'gas', 'forecasted', 'buying', 'exports', 'stop', 'year', 'uruguay', 'next', 'june']","['uruguayan exports drop june mercopress mercopress', 'argentina forecasted stop buying bolivian gas next year mercopress', 'argentina forecasted stop buying bolivian gas next year mercopress']"
25,10,25_solar_pv_green_loan,"['solar', 'pv', 'green', 'loan', 'enel', 'coal', 'goldbeck', '290mw', 'chile', 'renewables']","['chile posts record levels solar curtailment pv magazine international pv magazine international', 'goldbeck solar expands solar projects canada chile 44m loan rgreen invest solarquarter', 'goldbeck solar construct four solar plants canada chile pv tech']"
